record_id	tier	accession_codes	disease_field	disease_field_source	disease_field_is_free_text	disease_group	healthy_cohort
MMC2-05288	1	PRJNA950198	NAMED_IN_NOTE_UNPARSED	reviewer_note		Respiratory	
MMC2-05306	1	PRJNA957107	disease	disease_key		Autoimmine	
MMC2-05357	1	PRJNA991428	years since diagnosis	disease_key		Gastrointestinal	
MMC2-05398	1	PRJNA246121	disease	disease_key		Liver	
MMC2-05419	1	PRJNA278873	nfection_outcome	reviewer_note		Infectious	
MMC2-05430	1	PRJNA290926	diagnosis	disease_key		Metabolic	
MMC2-05435	1	PRJNA297252	STATUS	disease_key		Gastrointestinal	
MMC2-05466	1	PRJNA330897	Study_HIVStatus:	disease_key		STI	
MMC2-05471	1	PRJNA342486	host_disease	disease_key		Healthy	yes
MMC2-05506	1	PRJNA421952	Disease status	disease_key		Oral	
MMC2-05520	1	PRJNA450843	disease	disease_key		Infectious	
MMC2-05575	1	PRJNA962059	OverallGroup:	disease_key		Neurodegenerative	
MMC2-05906	1	PRJNA795467	sample_alias	reviewer_note	yes	Gastrointestinal	
MMC2-06291	1	DRA011218; PRJDB10871	host_disease_stat	disease_key		Gastrointestinal	
MMC2-07830	1	PRJNA926960; PRJNA928388	sample_alias	reviewer_note	yes	Renal	
MMC2-08483	1	PRJNA1176379	host_disease	disease_key		Oral	
MMC2-08593	1	PRJNA438847	host_phenotype	disease_key		Respiratory	
MMC2-09254	1	PRJNA408073	health_state	disease_key		Metabolic	
MMC2-09276	1	ERS3379832; ERS3380418; PRJEB31817	gastrointestinal tract disorder	disease_key		Gastrointestinal	
MMC2-09324	1	10.5281/ZENODO.12909008; PRJNA1091815	host_disease	disease_key		Oral	
MMC2-09404	1	PRJNA911564	study_group	disease_key		Respiratory	
MMC2-09639	1	PRJNA1148754	host_phenotype	disease_key		Oral	
