accession	record_id	tier
PRJNA548310	MMC2-11252	1
PRJNA550537	MMC2-04311	1
PRJNA552657	MMC2-04311	1
PRJNA554461	MMC2-04314	1
PRJNA554461	MMC2-04315	1
PRJNA556249	MMC2-04322	1
PRJNA575620	MMC2-00438	1
PRJNA579996	MMC2-09735	1
PRJNA595346	MMC2-04315	1
PRJNA598446	MMC2-04386	1
PRJNA599016	MMC2-04387	1
PRJNA606577	MMC2-04014	1
PRJNA610934	MMC2-04414	1
PRJNA612042	MMC2-02805	1
PRJNA615162	MMC2-04429	1
PRJNA622267	MMC2-04438	1
PRJNA630999	MMC2-03277	1
PRJNA631262	MMC2-04322	1
PRJNA632856	MMC2-00458	1
PRJNA637785	MMC2-04481	1
PRJNA668357	MMC2-02805	1
PRJNA668472	MMC2-02805	1
PRJNA678287	MMC2-00477	1
PRJNA678776	MMC2-00478	1
PRJNA687957	MMC2-04386	1
PRJNA698986	MMC2-03277	1
PRJNA701982	MMC2-03978	1
PRJNA719138	MMC2-04693	1
PRJNA720045	MMC2-04695	1
PRJNA721617	MMC2-04701	1
PRJNA724686	MMC2-04022	1
PRJNA726955	MMC2-04315	1
PRJNA727842	MMC2-04715	1
PRJNA731589	MMC2-00496	1
PRJNA734860	MMC2-02791	1
PRJNA737052	MMC2-12782	1
PRJNA743650	MMC2-04756	1
PRJNA746094	MMC2-04761	1
PRJNA755856	MMC2-04793	1
PRJNA757573	MMC2-04799	1
PRJNA759070	MMC2-04756	1
PRJNA759575	MMC2-04804	1
PRJNA763023	MMC2-00496	1
PRJNA766410	MMC2-04829	1
PRJNA775883	MMC2-04850	1
PRJNA795467	MMC2-05906	1
PRJNA797231	MMC2-04907	1
PRJNA798786	MMC2-04912	1
PRJNA803810	MMC2-04932	1
PRJNA810087	MMC2-00549	1
PRJNA820972	MMC2-04982	1
PRJNA823864	MMC2-04986	1
PRJNA832909	MMC2-01634	1
PRJNA832909	MMC2-03718	1
PRJNA834801	MMC2-03248	1
PRJNA836180	MMC2-05015	1
PRJNA836344	MMC2-12620	1
PRJNA843054	MMC2-00557	1
PRJNA846182	MMC2-00559	1
PRJNA866487	MMC2-02603	1
PRJNA870048	MMC2-01414	1
PRJNA880301	MMC2-00579	1
PRJNA881922	MMC2-05116	1
PRJNA885289	MMC2-03645	1
PRJNA911564	MMC2-09404	1
PRJNA913857	MMC2-05198	1
PRJNA926960	MMC2-07830	1
PRJNA928241	MMC2-05220	1
PRJNA928388	MMC2-07830	1
PRJNA940725	MMC2-04315	1
PRJNA945212	MMC2-05271	1
PRJNA950198	MMC2-05288	1
PRJNA957107	MMC2-05306	1
PRJNA962059	MMC2-05575	1
PRJNA976404	MMC2-04315	1
PRJNA991428	MMC2-05357	1
SRA045646	MMC2-10916	1
SRA050230	MMC2-10916	1
DRA002611	MMC2-02103	2
DRA002617	MMC2-02103	2
DRA002618	MMC2-02103	2
DRA006094	MMC2-02187	2
DRA009950	MMC2-02143	2
DRA011285	MMC2-02103	2
DRA011286	MMC2-02103	2
DRA013989	MMC2-02043	2
DRA015691	MMC2-02526	2
DRA017480	MMC2-00101	2
ERR1008629	MMC2-07030	2
ERR1008631	MMC2-07030	2
ERR1008632	MMC2-07030	2
ERR1008633	MMC2-07030	2
ERR1008651	MMC2-07030	2
ERR1008668	MMC2-07030	2
ERR1008687	MMC2-07030	2
ERR1008707	MMC2-07030	2
ERR1008723	MMC2-07030	2
ERR1008739	MMC2-07030	2
ERR1008749	MMC2-07030	2
ERR1008753	MMC2-07030	2
ERR1008757	MMC2-07030	2
ERR1008760	MMC2-07030	2
ERR1008770	MMC2-07030	2
ERR1008771	MMC2-07030	2
ERR1008776	MMC2-07030	2
ERR1008782	MMC2-07030	2
ERR1008793	MMC2-07030	2
ERR1015282	MMC2-07030	2
ERR1015295	MMC2-07030	2
ERR1015296	MMC2-07030	2
ERR1015297	MMC2-07030	2
ERR1015299	MMC2-07030	2
ERR1015307	MMC2-07030	2
ERR1015309	MMC2-07030	2
ERR1015311	MMC2-07030	2
ERR1015312	MMC2-07030	2
ERR1015316	MMC2-07030	2
ERR1015318	MMC2-07030	2
ERR1015322	MMC2-07030	2
ERR1015323	MMC2-07030	2
ERR1023629	MMC2-07030	2
ERR1023630	MMC2-07030	2
ERR1023633	MMC2-07030	2
ERR1023634	MMC2-07030	2
ERR1023638	MMC2-07030	2
ERR1023639	MMC2-07030	2
ERR1023640	MMC2-07030	2
ERR1023642	MMC2-07030	2
ERR1023644	MMC2-07030	2
ERR1023645	MMC2-07030	2
ERR1023646	MMC2-07030	2
ERR1023647	MMC2-07030	2
ERR1023650	MMC2-07030	2
ERR1023651	MMC2-07030	2
ERR1023652	MMC2-07030	2
ERR1023653	MMC2-07030	2
ERR1023654	MMC2-07030	2
ERR1023655	MMC2-07030	2
ERR1023656	MMC2-07030	2
ERR1023658	MMC2-07030	2
ERR1023659	MMC2-07030	2
ERR1023660	MMC2-07030	2
ERR1023663	MMC2-07030	2
ERR1023664	MMC2-07030	2
ERR1023666	MMC2-07030	2
ERR1023667	MMC2-07030	2
ERR1023668	MMC2-07030	2
ERR1023669	MMC2-07030	2
ERR1023670	MMC2-07030	2
ERR1023675	MMC2-07030	2
ERR1023676	MMC2-07030	2
ERR1023677	MMC2-07030	2
ERR1023678	MMC2-07030	2
ERR1023680	MMC2-07030	2
ERR1023681	MMC2-07030	2
ERR1023682	MMC2-07030	2
ERR1023683	MMC2-07030	2
ERR1023687	MMC2-07030	2
ERR1023688	MMC2-07030	2
ERR1023689	MMC2-07030	2
ERR1023690	MMC2-07030	2
ERR1023692	MMC2-07030	2
ERR1023693	MMC2-07030	2
ERR1023694	MMC2-07030	2
ERR1023695	MMC2-07030	2
ERR1023696	MMC2-07030	2
ERR1023697	MMC2-07030	2
ERR1023698	MMC2-07030	2
ERR1023699	MMC2-07030	2
ERR1023702	MMC2-07030	2
ERR1023703	MMC2-07030	2
ERR1023704	MMC2-07030	2
ERR1023705	MMC2-07030	2
ERR1023711	MMC2-07030	2
ERR1023738	MMC2-07030	2
ERR1023741	MMC2-07030	2
ERR1023758	MMC2-07030	2
ERR1023784	MMC2-07030	2
ERR1023785	MMC2-07030	2
ERR1023794	MMC2-07030	2
ERR1023800	MMC2-07030	2
ERR1023807	MMC2-07030	2
ERR1023811	MMC2-07030	2
ERR1023820	MMC2-07030	2
ERR1023834	MMC2-07030	2
ERR1023837	MMC2-07030	2
ERR1023841	MMC2-07030	2
ERR1023845	MMC2-07030	2
ERR1023846	MMC2-07030	2
ERR1023849	MMC2-07030	2
ERR1023857	MMC2-07030	2
ERR1035981	MMC2-07030	2
ERR1035984	MMC2-07030	2
ERR1035990	MMC2-07030	2
ERR1215618	MMC2-07030	2
ERR1215619	MMC2-07030	2
ERR1215620	MMC2-07030	2
ERR1215621	MMC2-07030	2
ERR1215633	MMC2-07030	2
PRJDB11117	MMC2-02753	2
PRJDB12280	MMC2-00158	2
PRJDB13918	MMC2-10240	2
PRJEB11895	MMC2-12989	2
PRJEB12577	MMC2-12989	2
PRJEB13249	MMC2-00175	2
PRJEB1415	MMC2-00138	2
PRJEB14869	MMC2-02678	2
PRJEB14948	MMC2-02832	2
PRJEB18476	MMC2-00179	2
PRJEB18478	MMC2-02844	2
PRJEB18650	MMC2-02683	2
PRJEB18720	MMC2-01968	2
PRJEB21104	MMC2-00180	2
PRJEB22303	MMC2-02692	2
PRJEB23057	MMC2-02879	2
PRJEB23313	MMC2-02883	2
PRJEB25060	MMC2-02896	2
PRJEB25915	MMC2-02907	2
PRJEB26931	MMC2-00186	2
PRJEB27564	MMC2-02929	2
PRJEB27623	MMC2-02930	2
PRJEB28159	MMC2-02935	2
PRJEB28384	MMC2-02940	2
PRJEB29078	MMC2-02710	2
PRJEB32077	MMC2-02974	2
PRJEB32265	MMC2-02975	2
PRJEB32479	MMC2-05727	2
PRJEB3251	MMC2-02638	2
PRJEB34333	MMC2-00195	2
PRJEB35283	MMC2-03009	2
PRJEB35666	MMC2-03012	2
PRJEB36332	MMC2-03029	2
PRJEB38175	MMC2-00205	2
PRJEB38221	MMC2-03049	2
PRJEB38352	MMC2-02722	2
PRJEB38909	MMC2-02724	2
PRJEB39311	MMC2-03063	2
PRJEB39484	MMC2-03065	2
PRJEB39500	MMC2-03066	2
PRJEB40590	MMC2-03074	2
PRJEB43655	MMC2-00211	2
PRJEB4413	MMC2-02649	2
PRJEB44737	MMC2-08827	2
PRJEB44737	MMC2-10356	2
PRJEB4555	MMC2-03125	2
PRJEB46105	MMC2-03131	2
PRJEB46474	MMC2-00213	2
PRJEB48940	MMC2-12673	2
PRJEB5185	MMC2-09774	2
PRJEB54599	MMC2-00220	2
PRJEB56605	MMC2-00205	2
PRJEB5768	MMC2-00140	2
PRJEB57770	MMC2-03236	2
PRJEB61078	MMC2-03256	2
PRJEB62005	MMC2-03259	2
PRJEB62780	MMC2-03263	2
PRJEB63351	MMC2-00227	2
PRJEB6337	MMC2-02656	2
PRJEB64621	MMC2-10356	2
PRJEB66493	MMC2-11220	2
PRJEB67362	MMC2-08464	2
PRJEB67373	MMC2-03291	2
PRJEB72371	MMC2-03312	2
PRJEB72778	MMC2-01890	2
PRJEB72779	MMC2-01890	2
PRJEB76903	MMC2-03325	2
PRJEB77861	MMC2-03330	2
PRJEB78556	MMC2-03332	2
PRJEB98644	MMC2-03378	2
PRJNA100021	MMC2-03380	2
PRJNA1011235	MMC2-00243	2
PRJNA1015704	MMC2-03419	2
PRJNA1023304	MMC2-00247	2
PRJNA1024934	MMC2-03436	2
PRJNA1027311	MMC2-02458	2
PRJNA1029974	MMC2-00253	2
PRJNA1036152	MMC2-10156	2
PRJNA1043868	MMC2-03466	2
PRJNA1045644	MMC2-03470	2
PRJNA1048714	MMC2-03481	2
PRJNA1049117	MMC2-03484	2
PRJNA1049329	MMC2-03487	2
PRJNA1051186	MMC2-08621	2
PRJNA1053658	MMC2-03496	2
PRJNA1058141	MMC2-03505	2
PRJNA1061168	MMC2-03508	2
PRJNA1064480	MMC2-03519	2
